timestamp,x,y,z,temp
1750606519379,0.64,-0.46,0.65,39.17
1750606519449,0.64,-0.46,0.66,39.14
1750606519499,0.63,-0.47,0.65,39.12
1750606519559,0.64,-0.46,0.65,39.12
1750606519619,0.65,-0.47,0.65,39.14
1750606519679,0.65,-0.46,0.66,39.15
1750606519819,0.64,-0.47,0.66,39.15
1750606519879,0.64,-0.47,0.66,39.15
1750606519939,0.66,-0.46,0.65,39.14
1750606519999,0.64,-0.47,0.66,39.15
1750606520059,0.66,-0.47,0.65,39.14
1750606520119,0.64,-0.46,0.67,39.15
1750606520179,0.65,-0.47,0.66,39.17
1750606520239,0.65,-0.46,0.66,39.15
1750606520299,0.65,-0.45,0.66,39.15
1750606520359,0.65,-0.47,0.67,39.15
1750606520419,0.65,-0.46,0.67,39.14
1750606520479,0.64,-0.46,0.66,39.15
1750606520539,0.65,-0.46,0.67,39.14
1750606520679,0.64,-0.45,0.66,39.14
1750606520739,0.64,-0.46,0.66,39.17
1750606520799,0.65,-0.47,0.66,39.14
1750606520859,0.66,-0.45,0.66,39.14
1750606520919,0.65,-0.46,0.66,39.15
1750606520979,0.65,-0.45,0.65,39.15
1750606521039,0.64,-0.46,0.65,39.14
1750606521099,0.65,-0.47,0.67,39.15
1750606521159,0.64,-0.46,0.66,39.15
1750606521219,0.64,-0.47,0.66,39.17
1750606521279,0.64,-0.46,0.66,39.17
1750606521339,0.65,-0.45,0.66,39.14
1750606521399,0.63,-0.46,0.65,39.11
1750606521549,0.64,-0.46,0.65,39.15
1750606521609,0.65,-0.47,0.66,39.14
1750606521669,0.64,-0.47,0.65,39.14
1750606521729,0.64,-0.46,0.65,39.14
1750606521789,0.63,-0.46,0.66,39.12
1750606521929,0.64,-0.47,0.66,39.14
1750606521989,0.64,-0.48,0.67,39.14
1750606522049,0.64,-0.46,0.66,39.12
1750606522109,0.64,-0.47,0.66,39.14
1750606522169,0.64,-0.47,0.66,39.15
1750606522229,0.64,-0.47,0.66,39.18
1750606522289,0.64,-0.47,0.65,39.14
1750606522349,0.64,-0.46,0.65,39.14
1750606522409,0.64,-0.46,0.65,39.14
1750606522469,0.65,-0.46,0.66,39.15
1750606522529,0.63,-0.47,0.66,39.17
1750606522589,0.65,-0.46,0.65,39.15
1750606522649,0.64,-0.47,0.66,39.17
1750606522709,0.65,-0.47,0.66,39.15
1750606522839,0.63,-0.46,0.66,39.15
1750606522899,0.64,-0.48,0.66,39.14
1750606522959,0.64,-0.47,0.66,39.15
1750606523019,0.66,-0.44,0.64,39.14
1750606523079,0.64,-0.47,0.66,39.14
1750606523139,0.65,-0.47,0.67,39.15
1750606523199,0.64,-0.46,0.67,39.14
1750606523259,0.63,-0.46,0.66,39.12
1750606523319,0.65,-0.46,0.66,39.15
1750606523379,0.64,-0.46,0.66,39.14
1750606523439,0.64,-0.46,0.68,39.17
1750606523499,0.65,-0.46,0.66,39.14
1750606523559,0.65,-0.46,0.66,39.15
1750606523699,0.64,-0.47,0.67,39.15
