timestamp,x,y,z,temp
1750605610249,0.56,-0.49,0.72,38.4
1750605610329,0.57,-0.49,0.72,38.4
1750605610379,0.57,-0.47,0.71,38.4
1750605610439,0.58,-0.49,0.71,38.39
1750605610499,0.56,-0.48,0.71,38.4
1750605610559,0.57,-0.48,0.7,38.4
1750605610619,0.57,-0.48,0.72,38.41
1750605610679,0.56,-0.49,0.71,38.41
1750605610739,0.57,-0.48,0.72,38.39
1750605610799,0.56,-0.48,0.71,38.39
1750605610929,0.57,-0.49,0.71,38.41
1750605610989,0.56,-0.48,0.71,38.4
1750605611049,0.57,-0.48,0.72,38.39
1750605611109,0.56,-0.49,0.71,38.41
1750605611169,0.57,-0.49,0.71,38.4
1750605611229,0.56,-0.49,0.72,38.4
1750605611289,0.56,-0.5,0.7,38.4
1750605611349,0.57,-0.49,0.71,38.37
1750605611409,0.56,-0.48,0.71,38.39
1750605611469,0.56,-0.49,0.71,38.43
1750605611529,0.56,-0.49,0.71,38.4
1750605611589,0.57,-0.47,0.71,38.39
1750605611649,0.57,-0.49,0.71,38.4
1750605611779,0.56,-0.48,0.71,38.4
1750605611839,0.56,-0.51,0.72,38.41
1750605611899,0.57,-0.48,0.72,38.41
1750605611959,0.57,-0.47,0.71,38.39
1750605612019,0.58,-0.49,0.71,38.4
1750605612079,0.58,-0.48,0.72,38.4
1750605612139,0.56,-0.49,0.71,38.4
1750605612199,0.57,-0.49,0.72,38.4
1750605612259,0.57,-0.48,0.71,38.39
1750605612319,0.56,-0.48,0.7,38.41
1750605612379,0.58,-0.48,0.72,38.4
1750605612439,0.57,-0.48,0.71,38.4
1750605612499,0.57,-0.47,0.72,38.41
1750605612559,0.57,-0.49,0.71,38.4
1750605612689,0.57,-0.49,0.72,38.39
1750605612749,0.57,-0.49,0.72,38.4
1750605612809,0.56,-0.48,0.73,38.41
1750605612869,0.57,-0.49,0.72,38.41
1750605612929,0.56,-0.47,0.72,38.41
1750605612989,0.57,-0.48,0.71,38.41
1750605613049,0.57,-0.49,0.71,38.4
1750605613109,0.57,-0.48,0.71,38.41
1750605613169,0.57,-0.5,0.72,38.41
1750605613229,0.56,-0.48,0.71,38.41
1750605613289,0.58,-0.48,0.71,38.41
1750605613349,0.57,-0.47,0.72,38.4
1750605613409,0.57,-0.49,0.71,38.4
1750605613549,0.57,-0.49,0.72,38.4
1750605613609,0.57,-0.49,0.72,38.4
1750605613669,0.55,-0.49,0.71,38.4
1750605613729,0.57,-0.48,0.71,38.39
1750605613789,0.57,-0.49,0.71,38.41
1750605613849,0.57,-0.48,0.72,38.39
1750605613909,0.58,-0.49,0.72,38.41
1750605613969,0.56,-0.48,0.72,38.4
1750605614029,0.58,-0.48,0.7,38.4
1750605614089,0.56,-0.48,0.71,38.39
1750605614149,0.56,-0.5,0.71,38.41
1750605614209,0.57,-0.48,0.7,38.41
1750605614269,0.56,-0.48,0.72,38.4
1750605614399,0.56,-0.48,0.71,38.41
1750605614459,0.57,-0.5,0.72,38.39
1750605614519,0.57,-0.47,0.71,38.4
