timestamp,x,y,z,temp
1750553002894,0.62,-0.71,0.33,37.38
1750553002984,0.61,-0.72,0.32,37.38
1750553003034,0.62,-0.72,0.33,37.41
1750553003094,0.63,-0.73,0.33,37.38
1750553003234,0.62,-0.72,0.33,37.38
1750553003294,0.61,-0.73,0.33,37.35
1750553003354,0.62,-0.72,0.32,37.38
1750553003414,0.61,-0.73,0.32,37.38
1750553003474,0.61,-0.72,0.34,37.38
1750553003534,0.61,-0.71,0.31,37.35
1750553003594,0.61,-0.72,0.32,37.36
1750553003654,0.61,-0.73,0.33,37.35
1750553003714,0.61,-0.73,0.33,37.35
1750553003774,0.6,-0.72,0.33,37.39
1750553003834,0.61,-0.73,0.34,37.35
1750553003894,0.61,-0.72,0.33,37.36
1750553003954,0.62,-0.71,0.33,37.36
1750553004094,0.61,-0.72,0.33,37.33
1750553004154,0.61,-0.72,0.32,37.36
1750553004214,0.62,-0.71,0.33,37.36
1750553004274,0.62,-0.72,0.32,37.38
1750553004334,0.63,-0.72,0.34,37.35
1750553004394,0.6,-0.73,0.34,37.38
1750553004454,0.62,-0.72,0.32,37.35
1750553004514,0.61,-0.72,0.33,37.38
1750553004574,0.61,-0.73,0.34,37.35
1750553004634,0.62,-0.72,0.33,37.35
1750553004694,0.62,-0.73,0.34,37.36
1750553004754,0.61,-0.73,0.34,37.36
1750553004815,0.62,-0.73,0.33,37.36
1750553004954,0.61,-0.72,0.32,37.36
1750553005014,0.6,-0.73,0.34,37.35
1750553005074,0.61,-0.73,0.34,37.35
1750553005134,0.6,-0.73,0.33,37.33
1750553005194,0.61,-0.72,0.34,37.36
1750553005254,0.6,-0.72,0.33,37.36
1750553005314,0.61,-0.73,0.33,37.38
1750553005374,0.61,-0.72,0.33,37.35
1750553005434,0.6,-0.72,0.33,37.33
1750553005494,0.6,-0.73,0.34,37.33
1750553005554,0.61,-0.73,0.32,37.36
1750553005614,0.62,-0.72,0.33,37.33
1750553005674,0.62,-0.72,0.33,37.33
1750553005734,0.6,-0.72,0.32,37.33
1750553005874,0.61,-0.73,0.34,37.33
1750553005934,0.61,-0.73,0.33,37.36
1750553005994,0.61,-0.73,0.34,37.33
1750553006054,0.61,-0.73,0.33,37.35
1750553006114,0.63,-0.71,0.32,37.33
1750553006175,0.61,-0.72,0.32,37.35
1750553006234,0.62,-0.71,0.34,37.35
1750553006294,0.61,-0.72,0.33,37.35
1750553006354,0.62,-0.72,0.33,37.32
1750553006414,0.6,-0.73,0.34,37.33
1750553006474,0.62,-0.72,0.33,37.35
1750553006534,0.61,-0.72,0.33,37.33
