timestamp,x,y,z,temp
1750551932014,0.85,-0.41,0.37,38.88
1750551932175,0.85,-0.41,0.37,38.88
1750551932224,0.85,-0.42,0.36,38.87
1750551932284,0.84,-0.41,0.38,38.88
1750551932344,0.83,-0.4,0.37,38.9
1750551932404,0.83,-0.42,0.37,38.87
1750551932464,0.84,-0.42,0.37,38.87
1750551932524,0.84,-0.41,0.36,38.88
1750551932584,0.85,-0.41,0.37,38.84
1750551932644,0.84,-0.42,0.38,38.9
1750551932704,0.84,-0.41,0.38,38.88
1750551932764,0.84,-0.42,0.36,38.9
1750551932824,0.84,-0.42,0.37,38.88
1750551932885,0.85,-0.42,0.38,38.88
1750551933014,0.84,-0.41,0.37,38.88
1750551933074,0.83,-0.42,0.38,38.88
1750551933134,0.85,-0.4,0.36,38.88
1750551933194,0.84,-0.42,0.36,38.88
1750551933254,0.85,-0.41,0.37,38.85
1750551933314,0.84,-0.41,0.36,38.88
1750551933374,0.85,-0.41,0.37,38.87
1750551933434,0.84,-0.41,0.37,38.88
1750551933494,0.85,-0.4,0.35,38.87
1750551933554,0.84,-0.41,0.37,38.84
1750551933614,0.84,-0.41,0.37,38.87
1750551933674,0.85,-0.43,0.37,38.88
1750551933734,0.85,-0.4,0.38,38.9
1750551933874,0.85,-0.42,0.37,38.9
1750551933934,0.83,-0.39,0.37,38.88
1750551933994,0.83,-0.41,0.35,38.87
1750551934054,0.85,-0.42,0.37,38.87
1750551934114,0.85,-0.41,0.37,38.85
1750551934175,0.84,-0.42,0.37,38.88
1750551934234,0.86,-0.4,0.35,38.88
1750551934294,0.85,-0.41,0.38,38.88
1750551934354,0.83,-0.42,0.37,38.88
1750551934414,0.86,-0.41,0.37,38.88
1750551934474,0.85,-0.4,0.38,38.9
1750551934534,0.85,-0.42,0.37,38.9
1750551934594,0.85,-0.41,0.36,38.88
1750551934724,0.85,-0.42,0.37,38.88
1750551934784,0.86,-0.4,0.37,38.88
1750551934844,0.85,-0.4,0.38,38.87
1750551934904,0.84,-0.42,0.38,38.87
1750551934964,0.84,-0.4,0.38,38.87
1750551935024,0.84,-0.42,0.38,38.88
1750551935084,0.85,-0.41,0.37,38.87
1750551935145,0.84,-0.41,0.37,38.87
1750551935204,0.85,-0.41,0.37,38.85
1750551935264,0.86,-0.4,0.36,38.88
1750551935324,0.84,-0.41,0.38,38.88
1750551935384,0.84,-0.4,0.37,38.9
1750551935446,0.85,-0.41,0.37,38.9
1750551935574,0.83,-0.42,0.39,38.87
1750551935634,0.84,-0.41,0.37,38.88
1750551935694,0.84,-0.42,0.38,38.9
1750551935754,0.84,-0.41,0.38,38.88
1750551935814,0.85,-0.4,0.37,38.9
1750551935874,0.84,-0.41,0.37,38.88
1750551935934,0.85,-0.41,0.37,38.87
1750551935994,0.85,-0.41,0.36,38.88
1750551936054,0.84,-0.41,0.36,38.91
1750551936114,0.84,-0.41,0.38,38.91
1750551936175,0.85,-0.42,0.38,38.88
1750551936234,0.85,-0.4,0.38,38.87
1750551936294,0.85,-0.41,0.37,38.88
1750551936434,0.85,-0.42,0.37,38.88
1750551936494,0.84,-0.42,0.36,38.91
1750551936554,0.84,-0.4,0.35,38.88
1750551936614,0.85,-0.41,0.36,38.88
1750551936674,0.84,-0.41,0.36,38.9
1750551936734,0.85,-0.41,0.36,38.88
1750551936794,0.84,-0.43,0.37,38.9
1750551936854,0.85,-0.41,0.38,38.87
1750551936914,0.84,-0.42,0.37,38.88
1750551936974,0.84,-0.41,0.37,38.85
1750551937034,0.85,-0.4,0.37,38.9
1750551937094,0.85,-0.41,0.37,38.9
1750551937154,0.83,-0.41,0.37,38.87
1750551937294,0.85,-0.42,0.39,38.9
1750551937354,0.85,-0.41,0.37,38.87
1750551937414,0.84,-0.41,0.37,38.88
1750551937474,0.84,-0.41,0.37,38.9
1750551937534,0.85,-0.42,0.37,38.87
1750551937596,0.84,-0.42,0.37,38.87
1750551937654,0.85,-0.42,0.37,38.9
