timestamp,x,y,z,temp
1750552315835,0.84,-0.42,0.37,38.96
1750552315915,0.84,-0.42,0.35,38.94
1750552315964,0.85,-0.41,0.35,38.94
1750552316024,0.86,-0.4,0.36,38.96
1750552316084,0.84,-0.43,0.37,38.94
1750552316144,0.84,-0.41,0.35,38.93
1750552316204,0.84,-0.41,0.35,38.94
1750552316264,0.84,-0.41,0.36,38.96
1750552316324,0.84,-0.4,0.38,38.94
1750552316384,0.85,-0.41,0.37,38.94
1750552316524,0.85,-0.4,0.37,38.93
1750552316584,0.84,-0.41,0.38,38.93
1750552316644,0.84,-0.41,0.36,38.93
1750552316704,0.84,-0.41,0.36,38.93
1750552316764,0.86,-0.41,0.36,38.93
1750552316824,0.85,-0.42,0.37,38.94
1750552316884,0.84,-0.42,0.35,38.93
1750552316944,0.83,-0.41,0.37,38.93
1750552317004,0.85,-0.4,0.36,38.94
1750552317064,0.85,-0.4,0.37,38.93
1750552317124,0.84,-0.41,0.36,38.93
1750552317184,0.84,-0.41,0.36,38.94
1750552317244,0.83,-0.4,0.37,38.93
1750552317374,0.85,-0.41,0.36,38.94
1750552317434,0.83,-0.41,0.37,38.91
1750552317494,0.84,-0.4,0.36,38.94
1750552317554,0.84,-0.41,0.36,38.94
1750552317614,0.84,-0.42,0.37,38.96
1750552317674,0.85,-0.42,0.37,38.94
1750552317734,0.83,-0.41,0.38,38.96
1750552317794,0.84,-0.4,0.36,38.93
1750552317854,0.83,-0.42,0.38,38.93
1750552317915,0.85,-0.41,0.36,38.96
1750552317974,0.83,-0.42,0.37,38.94
1750552318034,0.84,-0.41,0.37,38.94
1750552318094,0.85,-0.41,0.36,38.97
1750552318154,0.85,-0.43,0.37,38.94
1750552318294,0.83,-0.4,0.37,38.94
1750552318354,0.85,-0.4,0.36,38.94
1750552318414,0.85,-0.42,0.37,38.93
1750552318474,0.85,-0.41,0.37,38.93
1750552318534,0.84,-0.41,0.37,38.96
1750552318594,0.85,-0.41,0.37,38.96
1750552318654,0.85,-0.42,0.36,38.93
1750552318714,0.85,-0.41,0.37,38.96
1750552318774,0.85,-0.42,0.36,38.94
