timestamp,x,y,z,temp
1750565653843,0.95,-0.06,-0.11,37.55
1750565653912,0.96,-0.06,-0.13,37.56
1750565653962,0.97,-0.05,-0.14,37.56
1750565654022,0.97,-0.07,-0.13,37.55
1750565654082,0.97,-0.05,-0.14,37.55
1750565654142,0.98,-0.04,-0.13,37.55
1750565654202,0.96,-0.05,-0.13,37.56
1750565654262,0.97,-0.05,-0.14,37.53
1750565654423,0.97,-0.05,-0.13,37.56
1750565654482,0.97,-0.05,-0.14,37.56
1750565654542,0.96,-0.06,-0.14,37.55
1750565654602,0.96,-0.08,-0.13,37.56
1750565654662,0.97,-0.08,-0.14,37.55
1750565654722,0.97,-0.06,-0.14,37.56
1750565654782,0.96,-0.06,-0.14,37.55
1750565654842,0.96,-0.06,-0.13,37.56
1750565654902,0.96,-0.06,-0.13,37.53
1750565654962,0.96,-0.07,-0.11,37.55
1750565655022,0.96,-0.06,-0.12,37.56
1750565655192,0.97,-0.06,-0.14,37.55
1750565655252,0.98,-0.07,-0.12,37.56
1750565655312,0.98,-0.05,-0.12,37.52
1750565655372,0.98,-0.05,-0.14,37.55
1750565655432,0.98,-0.07,-0.14,37.53
1750565655562,0.97,-0.07,-0.13,37.55
1750565655622,0.97,-0.05,-0.13,37.53
1750565655682,0.97,-0.05,-0.13,37.55
1750565655742,0.96,-0.08,-0.12,37.53
1750565655802,0.97,-0.05,-0.13,37.55
1750565655862,0.97,-0.05,-0.13,37.55
1750565655922,0.97,-0.05,-0.13,37.55
1750565655983,0.96,-0.05,-0.13,37.55
1750565656042,0.96,-0.05,-0.13,37.55
1750565656102,0.96,-0.06,-0.14,37.55
1750565656162,0.97,-0.06,-0.13,37.55
1750565656222,0.97,-0.06,-0.13,37.56
1750565656282,0.97,-0.04,-0.13,37.55
1750565656423,0.97,-0.04,-0.12,37.55
1750565656482,0.97,-0.05,-0.13,37.55
1750565656542,0.97,-0.05,-0.13,37.56
1750565656602,0.97,-0.06,-0.13,37.56
1750565656662,0.97,-0.05,-0.14,37.53
1750565656722,0.96,-0.05,-0.13,37.56
1750565656782,0.95,-0.06,-0.12,37.55
1750565656842,0.97,-0.06,-0.12,37.55
1750565656902,0.96,-0.05,-0.13,37.55
1750565656962,0.98,-0.06,-0.13,37.56
1750565657022,0.97,-0.05,-0.12,37.56
1750565657082,0.97,-0.06,-0.13,37.56
1750565657142,0.97,-0.06,-0.14,37.53
1750565657282,0.97,-0.05,-0.13,37.56
1750565657342,0.97,-0.05,-0.14,37.56
1750565657402,0.97,-0.06,-0.13,37.53
1750565657462,0.97,-0.04,-0.14,37.55
1750565657522,0.97,-0.06,-0.14,37.56
1750565657582,0.97,-0.04,-0.14,37.55
1750565657642,0.96,-0.06,-0.13,37.53
1750565657702,0.98,-0.06,-0.14,37.55
