timestamp,x,y,z,temp
1750546991796,0.75,-0.18,0.65,34.85
1750546991925,0.75,-0.18,0.66,34.87
1750546991975,0.77,-0.2,0.65,34.88
1750546992035,0.76,-0.19,0.65,34.85
1750546992095,0.76,-0.21,0.66,34.85
1750546992155,0.77,-0.2,0.66,34.85
1750546992215,0.76,-0.2,0.65,34.88
1750546992275,0.76,-0.2,0.65,34.85
1750546992335,0.75,-0.21,0.65,34.88
1750546992395,0.76,-0.19,0.66,34.85
1750546992455,0.76,-0.19,0.65,34.91
1750546992515,0.76,-0.2,0.67,34.85
1750546992575,0.76,-0.21,0.66,34.87
1750546992635,0.76,-0.2,0.67,34.88
1750546992765,0.75,-0.2,0.66,34.88
1750546992825,0.75,-0.2,0.64,34.87
1750546992885,0.77,-0.19,0.65,34.85
1750546992945,0.75,-0.21,0.66,34.87
1750546993005,0.77,-0.2,0.66,34.87
1750546993065,0.76,-0.2,0.66,34.87
1750546993125,0.76,-0.2,0.66,34.87
1750546993185,0.76,-0.2,0.66,34.87
1750546993245,0.75,-0.2,0.65,34.88
1750546993305,0.74,-0.21,0.65,34.88
1750546993365,0.76,-0.21,0.66,34.89
1750546993425,0.76,-0.21,0.66,34.88
1750546993485,0.77,-0.22,0.67,34.85
1750546993625,0.77,-0.2,0.67,34.88
1750546993685,0.75,-0.21,0.65,34.87
1750546993745,0.77,-0.18,0.66,34.87
1750546993805,0.76,-0.21,0.65,34.88
1750546993865,0.76,-0.19,0.64,34.87
1750546993925,0.77,-0.19,0.65,34.88
1750546993985,0.77,-0.22,0.65,34.87
1750546994045,0.76,-0.21,0.66,34.88
1750546994105,0.76,-0.19,0.65,34.85
1750546994165,0.75,-0.2,0.64,34.88
1750546994226,0.76,-0.2,0.67,34.88
1750546994285,0.77,-0.19,0.66,34.87
1750546994345,0.77,-0.22,0.67,34.88
1750546994485,0.76,-0.2,0.65,34.87
1750546994545,0.76,-0.21,0.66,34.88
1750546994605,0.75,-0.2,0.65,34.87
1750546994665,0.75,-0.2,0.65,34.87
1750546994725,0.76,-0.19,0.66,34.89
1750546994785,0.77,-0.21,0.65,34.87
1750546994845,0.74,-0.21,0.66,34.89
1750546994905,0.75,-0.2,0.66,34.89
1750546994965,0.75,-0.2,0.65,34.89
1750546995025,0.75,-0.19,0.66,34.87
1750546995085,0.77,-0.2,0.65,34.92
1750546995145,0.75,-0.21,0.66,34.88
1750546995205,0.76,-0.21,0.67,34.87
1750546995345,0.77,-0.2,0.64,34.87
1750546995407,0.77,-0.2,0.67,34.89
1750546995465,0.76,-0.2,0.65,34.89
1750546995525,0.76,-0.2,0.65,34.88
1750546995585,0.77,-0.2,0.65,34.88
1750546995645,0.76,-0.21,0.65,34.89
1750546995705,0.77,-0.2,0.64,34.89
1750546995765,0.75,-0.2,0.65,34.88
1750546995825,0.76,-0.21,0.65,34.91
1750546995885,0.75,-0.21,0.65,34.88
1750546995945,0.77,-0.2,0.66,34.89
1750546996005,0.76,-0.21,0.65,34.88
1750546996065,0.76,-0.21,0.65,34.88
1750546996205,0.76,-0.22,0.65,34.88
1750546996265,0.76,-0.19,0.66,34.89
1750546996325,0.77,-0.21,0.66,34.88
1750546996385,0.76,-0.2,0.65,34.88
1750546996445,0.75,-0.2,0.65,34.89
1750546996505,0.77,-0.2,0.66,34.88
1750546996565,0.75,-0.21,0.66,34.87
1750546996625,0.75,-0.2,0.65,34.89
1750546996685,0.77,-0.21,0.66,34.89
1750546996745,0.76,-0.2,0.67,34.91
1750546996805,0.76,-0.21,0.67,34.89
1750546996865,0.76,-0.2,0.67,34.89
1750546996925,0.75,-0.19,0.66,34.89
1750546997055,0.76,-0.21,0.67,34.91
1750546997115,0.77,-0.2,0.67,34.89
1750546997175,0.77,-0.19,0.65,34.89
1750546997235,0.77,-0.2,0.65,34.92
1750546997295,0.76,-0.2,0.66,34.88
1750546997355,0.76,-0.21,0.65,34.87
1750546997415,0.76,-0.19,0.65,34.91
1750546997475,0.76,-0.21,0.66,34.89
1750546997535,0.77,-0.2,0.64,34.92
1750546997595,0.76,-0.2,0.65,34.91
1750546997655,0.76,-0.21,0.66,34.89
1750546997715,0.76,-0.21,0.65,34.91
1750546997775,0.77,-0.2,0.67,34.91
1750546997835,0.76,-0.2,0.65,34.91
1750546997975,0.74,-0.22,0.65,34.89
1750546998035,0.76,-0.2,0.65,34.91
1750546998095,0.77,-0.2,0.65,34.92
1750546998155,0.77,-0.2,0.66,34.92
1750546998215,0.76,-0.21,0.66,34.92
