timestamp,x,y,z,temp
1750549810853,0.46,-0.14,0.92,38.91
1750549810923,0.48,-0.14,0.93,38.93
1750549810973,0.47,-0.12,0.93,38.93
1750549811033,0.48,-0.14,0.92,38.91
1750549811093,0.48,-0.13,0.91,38.93
1750549811153,0.47,-0.14,0.93,38.91
1750549811293,0.48,-0.13,0.92,38.91
1750549811353,0.47,-0.13,0.94,38.91
1750549811413,0.48,-0.14,0.91,38.91
1750549811473,0.48,-0.14,0.93,38.91
1750549811533,0.46,-0.12,0.92,38.91
1750549811593,0.48,-0.14,0.91,38.93
1750549811653,0.48,-0.13,0.92,38.91
1750549811713,0.47,-0.14,0.93,38.91
1750549811773,0.48,-0.13,0.93,38.93
1750549811833,0.47,-0.13,0.93,38.9
1750549811893,0.46,-0.13,0.93,38.94
1750549811953,0.48,-0.13,0.92,38.93
1750549812013,0.47,-0.12,0.92,38.9
1750549812143,0.48,-0.12,0.93,38.91
1750549812203,0.48,-0.13,0.92,38.9
1750549812263,0.47,-0.14,0.92,38.9
1750549812323,0.49,-0.13,0.92,38.9
1750549812383,0.47,-0.13,0.92,38.9
1750549812443,0.47,-0.13,0.93,38.9
1750549812503,0.48,-0.12,0.92,38.9
1750549812563,0.48,-0.14,0.93,38.9
1750549812623,0.48,-0.14,0.93,38.93
1750549812683,0.48,-0.13,0.93,38.9
1750549812743,0.46,-0.13,0.92,38.91
1750549812803,0.48,-0.14,0.92,38.9
1750549812863,0.48,-0.12,0.94,38.91
1750549812993,0.48,-0.14,0.92,38.93
1750549813053,0.49,-0.13,0.94,38.9
1750549813113,0.48,-0.14,0.92,38.91
1750549813173,0.47,-0.13,0.93,38.88
1750549813233,0.48,-0.12,0.92,38.91
1750549813293,0.48,-0.12,0.92,38.9
1750549813353,0.48,-0.14,0.92,38.91
1750549813413,0.48,-0.13,0.93,38.9
1750549813473,0.47,-0.13,0.94,38.9
1750549813533,0.48,-0.13,0.93,38.91
1750549813593,0.47,-0.14,0.93,38.88
1750549813653,0.49,-0.13,0.93,38.93
1750549813713,0.47,-0.14,0.93,38.91
1750549813853,0.48,-0.12,0.93,38.88
1750549813913,0.48,-0.12,0.92,38.88
1750549813973,0.47,-0.11,0.92,38.9
1750549814033,0.47,-0.13,0.93,38.9
1750549814093,0.48,-0.13,0.93,38.9
1750549814153,0.48,-0.13,0.93,38.88
1750549814213,0.48,-0.12,0.93,38.88
1750549814273,0.48,-0.13,0.91,38.9
1750549814333,0.48,-0.14,0.92,38.88
1750549814393,0.49,-0.12,0.93,38.91
1750549814453,0.47,-0.14,0.93,38.9
1750549814513,0.48,-0.12,0.93,38.9
1750549814573,0.47,-0.11,0.91,38.88
1750549814713,0.47,-0.12,0.92,38.88
1750549814773,0.48,-0.12,0.92,38.9
1750549814833,0.48,-0.15,0.93,38.9
1750549814893,0.48,-0.12,0.93,38.9
1750549814953,0.48,-0.13,0.92,38.9
1750549815013,0.48,-0.12,0.92,38.9
1750549815073,0.48,-0.13,0.92,38.9
1750549815133,0.48,-0.14,0.93,38.88
1750549815193,0.48,-0.13,0.93,38.91
1750549815253,0.48,-0.14,0.93,38.9
1750549815313,0.47,-0.12,0.93,38.91
