timestamp,x,y,z,temp
1750546789675,0.95,-0.08,-0.17,34.75
1750546789755,0.96,-0.08,-0.18,34.78
1750546789805,0.96,-0.08,-0.18,34.78
1750546789865,0.96,-0.08,-0.18,34.75
1750546789925,0.95,-0.09,-0.18,34.77
1750546790065,0.96,-0.08,-0.18,34.72
1750546790125,0.96,-0.09,-0.19,34.77
1750546790185,0.95,-0.07,-0.19,34.74
1750546790245,0.95,-0.08,-0.19,34.75
1750546790305,0.95,-0.08,-0.18,34.75
1750546790365,0.94,-0.09,-0.19,34.77
1750546790425,0.95,-0.09,-0.18,34.75
1750546790485,0.95,-0.07,-0.2,34.78
1750546790545,0.95,-0.08,-0.19,34.75
1750546790606,0.95,-0.07,-0.19,34.77
1750546790665,0.96,-0.07,-0.19,34.74
1750546790725,0.95,-0.08,-0.18,34.78
1750546790785,0.95,-0.08,-0.19,34.77
1750546790915,0.95,-0.07,-0.17,34.77
1750546790975,0.95,-0.07,-0.2,34.75
1750546791035,0.96,-0.08,-0.18,34.77
1750546791095,0.95,-0.07,-0.18,34.77
1750546791155,0.95,-0.07,-0.19,34.78
1750546791215,0.95,-0.08,-0.19,34.78
1750546791275,0.96,-0.08,-0.18,34.78
1750546791335,0.96,-0.08,-0.17,34.78
1750546791395,0.95,-0.08,-0.19,34.78
1750546791455,0.95,-0.07,-0.19,34.77
1750546791515,0.96,-0.06,-0.19,34.78
1750546791575,0.97,-0.07,-0.18,34.79
1750546791635,0.96,-0.07,-0.19,34.79
1750546791775,0.95,-0.07,-0.2,34.78
1750546791835,0.95,-0.07,-0.2,34.78
1750546791895,0.96,-0.08,-0.17,34.78
1750546791955,0.96,-0.07,-0.2,34.78
1750546792015,0.95,-0.07,-0.18,34.79
1750546792075,0.96,-0.07,-0.19,34.78
1750546792135,0.96,-0.07,-0.19,34.77
1750546792195,0.96,-0.08,-0.19,34.78
1750546792255,0.96,-0.08,-0.19,34.79
1750546792315,0.95,-0.06,-0.19,34.81
1750546792375,0.96,-0.08,-0.18,34.77
1750546792435,0.95,-0.08,-0.18,34.77
1750546792495,0.96,-0.07,-0.18,34.81
1750546792635,0.96,-0.09,-0.17,34.78
1750546792695,0.96,-0.07,-0.16,34.78
1750546792757,0.95,-0.08,-0.14,34.77
1750546792815,0.98,-0.08,-0.14,34.78
1750546792875,0.96,-0.1,-0.16,34.77
1750546792935,0.96,-0.1,-0.16,34.79
1750546792995,0.95,-0.09,-0.17,34.79
1750546793055,0.97,-0.08,-0.16,34.78
1750546793115,0.96,-0.09,-0.17,34.78
1750546793175,0.95,-0.08,-0.16,34.78
1750546793235,0.96,-0.1,-0.17,34.79
1750546793295,0.95,-0.1,-0.16,34.81
1750546793355,0.96,-0.1,-0.15,34.78
