timestamp,x,y,z,temp
222627,-0.0,7.96,0.0,26.92
222697,-0.0,7.96,0.0,26.93
222747,-0.0,7.96,0.0,26.91
222807,-0.0,7.96,0.0,26.93
222867,-0.0,7.96,0.0,26.92
222927,-0.0,7.96,0.0,26.91
223057,-0.0,7.96,0.0,26.91
223117,-0.0,7.96,0.0,26.92
223177,-0.0,7.96,0.0,26.93
223237,-0.0,7.96,0.0,26.91
223297,-0.0,7.96,0.0,26.89
223357,-0.0,7.96,0.0,26.92
223417,-0.0,7.96,0.0,26.92
223477,-0.0,7.96,0.0,26.89
223537,-0.0,7.96,0.0,26.89
223597,-0.0,7.96,0.0,26.91
223657,-0.0,7.96,0.0,26.92
223717,-0.0,7.96,0.0,26.89
223777,-0.0,7.96,0.0,26.89
223837,-0.0,7.96,0.0,26.91
223977,-0.0,7.96,0.0,26.91
224037,-0.0,7.96,0.0,26.91
224097,-0.0,7.96,0.0,26.92
224157,-0.0,7.96,0.0,26.92
224217,0.0,0.0,-12.72,26.89
224277,-0.0,7.96,0.0,26.91
224337,-0.0,7.96,0.0,26.92
224397,-0.0,7.96,0.0,26.91
224457,-0.0,7.96,0.0,26.92
224517,-0.0,7.96,0.0,26.91
224577,-0.0,7.96,0.0,26.89
224637,-0.0,7.96,0.0,26.91
224697,-0.0,7.96,0.0,26.91
224837,-0.0,7.96,0.0,26.91
224897,-0.0,7.96,0.0,26.91
224957,-0.0,7.96,0.0,26.91
225017,-0.0,7.96,0.0,26.91
225077,-0.0,7.96,0.0,26.92
225137,-0.0,7.96,0.0,26.89
225197,-0.0,7.96,0.0,26.92
225257,-0.0,7.96,0.0,26.91
225317,-0.0,7.96,0.0,26.91
225377,-0.0,7.96,0.0,26.91
225437,-0.0,7.96,0.0,26.93
225497,-0.0,7.96,0.0,26.92
225557,-0.0,7.96,0.0,26.91
225697,-0.0,7.96,0.0,26.89
225757,-0.0,7.96,0.0,26.92
225817,-0.0,7.96,0.0,26.89
225877,-0.0,7.96,0.0,26.89
225937,-0.0,7.96,0.0,26.89
225997,-0.0,7.96,0.0,26.91
226057,-0.0,7.96,0.0,26.92
226117,-0.0,7.96,0.0,26.92
226177,-0.0,7.96,0.0,26.89
226237,-0.0,7.96,0.0,26.91
226297,-0.0,7.96,0.0,26.92
226357,-0.0,7.96,0.0,26.92
226417,-0.0,7.96,0.0,26.91
226477,-0.0,7.96,0.0,26.91
226607,-0.0,7.96,0.0,26.91
226667,-0.0,7.96,0.0,26.91
226727,-0.0,7.96,0.0,26.91
226787,-0.0,7.96,0.0,26.92
226847,-0.0,7.96,0.0,26.91
226907,-0.0,7.96,0.0,26.91
226967,-0.0,7.96,0.0,26.93
227027,-0.0,7.96,0.0,26.91
227087,-0.0,7.96,0.0,26.88
227147,-0.0,7.96,0.0,26.91
227207,-0.0,7.96,0.0,26.91
227267,-0.0,7.96,0.0,26.89
227327,-0.0,7.96,0.0,26.89
227457,-0.0,7.96,0.0,26.89
227517,-0.0,7.96,0.0,26.91
227577,-0.0,7.96,0.0,26.89
227637,-0.0,7.96,0.0,26.89
227697,-0.0,7.96,0.0,26.89
227757,-0.0,7.96,0.0,26.92
227817,-0.0,7.96,0.0,26.92
227877,-0.0,7.96,0.0,26.91
227937,-0.0,7.96,0.0,26.91
227997,-0.0,7.96,0.0,26.91
228057,-0.0,7.96,0.0,26.93
228117,-0.0,7.96,0.0,26.88
228177,-0.0,7.96,0.0,26.89
228237,-0.0,7.96,0.0,26.89
228367,-0.0,7.96,0.0,26.91
228427,-0.0,7.96,0.0,26.91
228487,-0.0,7.96,0.0,26.91
228547,-0.0,7.96,0.0,26.92
