timestamp,x,y,z,temp
1750570582722,-0.91,0.19,0.44,35.31
1750570582872,-0.9,0.17,0.43,35.31
1750570582931,-0.91,0.19,0.42,35.31
1750570582992,-0.9,0.18,0.41,35.31
1750570583052,-0.92,0.18,0.45,35.32
1750570583112,-0.92,0.18,0.43,35.29
1750570583172,-0.91,0.18,0.44,35.31
1750570583231,-0.91,0.17,0.43,35.31
1750570583292,-0.9,0.19,0.43,35.29
1750570583351,-0.91,0.17,0.43,35.32
1750570583412,-0.91,0.18,0.44,35.29
1750570583472,-0.92,0.18,0.43,35.32
1750570583531,-0.9,0.19,0.44,35.29
1750570583592,-0.91,0.18,0.44,35.31
1750570583732,-0.91,0.19,0.44,35.29
1750570583792,-0.91,0.17,0.43,35.31
1750570583851,-0.91,0.19,0.43,35.31
1750570583912,-0.91,0.18,0.42,35.29
1750570583972,-0.92,0.18,0.43,35.31
1750570584032,-0.91,0.18,0.43,35.29
1750570584092,-0.91,0.18,0.44,35.32
1750570584151,-0.91,0.19,0.43,35.31
1750570584212,-0.91,0.2,0.44,35.31
1750570584271,-0.91,0.19,0.42,35.29
1750570584332,-0.91,0.19,0.43,35.29
1750570584392,-0.91,0.19,0.44,35.31
1750570584451,-0.92,0.18,0.43,35.31
1750570584592,-0.91,0.19,0.44,35.28
1750570584651,-0.91,0.19,0.43,35.31
1750570584712,-0.91,0.19,0.44,35.29
1750570584771,-0.93,0.17,0.45,35.29
1750570584832,-0.92,0.19,0.44,35.31
1750570584892,-0.9,0.19,0.45,35.29
1750570584952,-0.92,0.18,0.44,35.32
1750570585012,-0.9,0.18,0.42,35.31
1750570585071,-0.92,0.17,0.42,35.33
1750570585132,-0.92,0.18,0.45,35.31
1750570585191,-0.91,0.2,0.43,35.32
1750570585252,-0.91,0.19,0.44,35.31
1750570585312,-0.91,0.17,0.44,35.28
1750570585452,-0.91,0.18,0.44,35.28
1750570585512,-0.92,0.19,0.42,35.31
1750570585571,-0.91,0.2,0.42,35.28
1750570585632,-0.9,0.19,0.44,35.31
1750570585691,-0.91,0.18,0.43,35.29
1750570585752,-0.91,0.18,0.44,35.32
1750570585813,-0.91,0.19,0.44,35.31
1750570585872,-0.91,0.17,0.44,35.31
1750570585932,-0.91,0.19,0.45,35.29
1750570585991,-0.92,0.18,0.45,35.32
1750570586052,-0.9,0.18,0.45,35.31
1750570586111,-0.91,0.18,0.44,35.32
1750570586172,-0.92,0.18,0.43,35.32
1750570586302,-0.91,0.18,0.43,35.29
1750570586362,-0.91,0.19,0.43,35.31
1750570586421,-0.91,0.19,0.42,35.28
1750570586482,-0.92,0.19,0.43,35.33
1750570586542,-0.92,0.19,0.45,35.29
1750570586601,-0.91,0.18,0.43,35.28
1750570586662,-0.9,0.19,0.44,35.29
1750570586721,-0.92,0.18,0.44,35.31
1750570586782,-0.91,0.19,0.44,35.31
1750570586842,-0.92,0.19,0.43,35.29
1750570586901,-0.91,0.18,0.42,35.29
1750570586962,-0.91,0.18,0.45,35.31
1750570587021,-0.91,0.19,0.43,35.29
1750570587162,-0.9,0.19,0.44,35.32
1750570587221,-0.91,0.19,0.43,35.29
1750570587282,-0.92,0.19,0.43,35.29
1750570587341,-0.9,0.18,0.44,35.31
1750570587402,-0.91,0.19,0.43,35.29
1750570587462,-0.92,0.18,0.44,35.31
1750570587521,-0.91,0.19,0.44,35.29
1750570587582,-0.91,0.19,0.44,35.29
1750570587641,-0.91,0.19,0.44,35.32
1750570587702,-0.91,0.18,0.44,35.31
1750570587762,-0.91,0.19,0.43,35.32
1750570587822,-0.91,0.18,0.43,35.31
1750570587882,-0.92,0.18,0.42,35.29
1750570588022,-0.91,0.18,0.44,35.26
1750570588082,-0.91,0.19,0.44,35.31
1750570588141,-0.92,0.19,0.44,35.28
1750570588202,-0.92,0.19,0.44,35.29
1750570588261,-0.91,0.19,0.44,35.31
1750570588322,-0.9,0.2,0.44,35.32
1750570588382,-0.91,0.18,0.44,35.31
1750570588441,-0.91,0.17,0.43,35.31
1750570588502,-0.92,0.18,0.45,35.29
1750570588561,-0.91,0.18,0.44,35.31
1750570588622,-0.91,0.18,0.43,35.29
1750570588682,-0.92,0.19,0.43,35.29
1750570588742,-0.9,0.18,0.44,35.32
1750570588802,-0.91,0.19,0.44,35.28
1750570588942,-0.91,0.2,0.44,35.29
1750570589002,-0.91,0.2,0.42,35.32
1750570589061,-0.92,0.18,0.43,35.31
1750570589122,-0.92,0.18,0.42,35.32
1750570589181,-0.89,0.18,0.43,35.31
1750570589242,-0.9,0.18,0.43,35.31
1750570589302,-0.91,0.17,0.43,35.32
1750570589361,-0.91,0.19,0.42,35.32
1750570589422,-0.91,0.18,0.45,35.29
1750570589481,-0.92,0.18,0.44,35.31
1750570589542,-0.91,0.19,0.44,35.29
1750570589602,-0.92,0.19,0.44,35.32
1750570589662,-0.91,0.19,0.43,35.31
1750570589802,-0.91,0.19,0.43,35.31
1750570589862,-0.91,0.18,0.43,35.29
1750570589922,-0.91,0.18,0.44,35.31
1750570589981,-0.92,0.19,0.44,35.31
1750570590042,-0.92,0.18,0.43,35.29
1750570590101,-0.91,0.18,0.43,35.29
1750570590162,-0.91,0.18,0.43,35.29
1750570590222,-0.91,0.18,0.44,35.28
1750570590281,-0.91,0.19,0.44,35.32
1750570590342,-0.92,0.19,0.42,35.31
1750570590401,-0.92,0.16,0.45,35.31
1750570590462,-0.91,0.2,0.42,35.31
1750570590521,-0.91,0.18,0.43,35.32
1750570590652,-0.92,0.18,0.45,35.31
1750570590711,-0.91,0.19,0.43,35.29
1750570590772,-0.91,0.19,0.44,35.31
1750570590832,-0.91,0.19,0.44,35.29
