timestamp,x,y,z,temp
1750553810724,0.97,-0.14,0.11,34.92
1750553810814,0.99,-0.11,0.13,34.94
1750553810904,0.98,-0.15,0.13,34.92
1750553810964,0.97,-0.15,0.13,34.95
1750553811024,0.98,-0.14,0.14,34.95
1750553811084,0.98,-0.14,0.12,34.97
1750553811144,0.97,-0.13,0.14,34.94
1750553811204,0.97,-0.13,0.12,34.94
1750553811264,0.98,-0.15,0.13,34.94
1750553811324,0.98,-0.13,0.13,34.92
1750553811384,0.97,-0.14,0.13,34.94
1750553811444,0.97,-0.15,0.12,34.95
1750553811504,0.97,-0.14,0.13,34.94
1750553811564,0.98,-0.14,0.12,34.94
1750553811624,0.97,-0.14,0.13,34.92
1750553811764,0.97,-0.13,0.14,34.92
1750553811825,0.98,-0.14,0.12,34.91
1750553811884,0.98,-0.13,0.14,34.95
1750553811944,0.98,-0.14,0.12,34.94
1750553812004,0.98,-0.13,0.13,34.94
1750553812064,0.99,-0.14,0.12,34.95
1750553812124,0.98,-0.13,0.12,34.94
1750553812184,0.97,-0.13,0.12,34.95
1750553812244,0.98,-0.13,0.14,34.97
1750553812304,0.97,-0.15,0.13,34.92
1750553812364,0.97,-0.14,0.12,34.94
1750553812424,0.98,-0.14,0.13,34.94
1750553812484,0.98,-0.14,0.13,34.92
1750553812624,0.98,-0.14,0.14,34.92
1750553812684,0.98,-0.13,0.13,34.92
1750553812744,0.97,-0.15,0.11,34.95
1750553812804,0.97,-0.14,0.13,34.94
1750553812864,0.96,-0.14,0.13,34.92
1750553812924,0.97,-0.14,0.14,34.95
1750553812984,0.99,-0.13,0.12,34.94
1750553813044,0.97,-0.12,0.13,34.94
1750553813104,0.98,-0.15,0.14,34.95
1750553813164,0.97,-0.14,0.12,34.94
1750553813224,0.98,-0.14,0.13,34.94
1750553813284,0.97,-0.14,0.15,34.94
1750553813344,0.99,-0.13,0.13,34.92
1750553813484,0.98,-0.13,0.13,34.92
1750553813544,0.98,-0.14,0.13,34.94
1750553813604,0.98,-0.13,0.14,34.92
1750553813664,0.97,-0.15,0.13,34.92
1750553813724,0.96,-0.15,0.13,34.92
1750553813784,0.97,-0.14,0.15,34.95
1750553813844,0.98,-0.14,0.12,34.94
1750553813904,0.96,-0.14,0.13,34.94
1750553813964,0.97,-0.13,0.14,34.95
1750553814024,0.98,-0.12,0.13,34.94
1750553814084,0.97,-0.13,0.13,34.95
1750553814144,0.97,-0.13,0.14,34.94
1750553814204,0.97,-0.13,0.13,34.92
1750553814344,0.98,-0.13,0.13,34.92
