timestamp,x,y,z,temp
1750524043690,0.56,0.03,0.89,37.02
1750524043761,0.54,0.02,0.89,37.05
1750524043811,0.54,0.02,0.89,37.05
1750524043871,0.54,0.03,0.88,37.05
1750524043931,0.55,0.01,0.88,37.05
1750524044061,0.55,0.03,0.88,37.07
1750524044121,0.55,0.01,0.9,37.05
1750524044181,0.55,0.03,0.88,37.05
1750524044241,0.56,0.04,0.89,37.07
1750524044301,0.55,0.03,0.89,37.07
1750524044361,0.55,0.02,0.89,37.07
1750524044421,0.56,0.02,0.88,37.05
1750524044481,0.56,0.02,0.88,37.07
1750524044541,0.56,0.02,0.89,37.05
1750524044601,0.55,0.03,0.88,37.04
1750524044661,0.55,0.04,0.89,37.07
1750524044721,0.54,0.03,0.89,37.07
1750524044781,0.55,0.02,0.89,37.07
1750524044921,0.55,0.01,0.89,37.04
1750524044981,0.55,0.03,0.89,37.07
1750524045041,0.55,0.02,0.89,37.05
1750524045101,0.55,0.04,0.88,37.05
1750524045161,0.54,0.02,0.89,37.05
1750524045221,0.54,0.03,0.89,37.07
1750524045281,0.55,0.03,0.89,37.05
1750524045341,0.55,0.02,0.88,37.05
1750524045401,0.55,0.03,0.88,37.05
1750524045461,0.55,0.03,0.87,37.07
1750524045521,0.55,0.01,0.88,37.05
1750524045581,0.55,0.02,0.88,37.04
1750524045640,0.56,0.02,0.89,37.05
1750524045771,0.55,0.02,0.88,37.05
1750524045831,0.55,0.03,0.88,37.02
1750524045891,0.55,0.03,0.89,37.04
1750524045951,0.55,0.01,0.9,37.05
1750524046011,0.54,0.03,0.88,37.07
1750524046071,0.55,0.02,0.9,37.05
1750524046131,0.55,0.03,0.88,37.05
1750524046191,0.54,0.02,0.88,37.08
1750524046251,0.55,0.02,0.9,37.05
1750524046311,0.55,0.03,0.9,37.07
1750524046371,0.56,0.03,0.87,37.07
1750524046431,0.54,0.02,0.89,37.08
1750524046491,0.55,0.03,0.87,37.07
1750524046551,0.55,0.03,0.88,37.05
1750524046691,0.56,0.03,0.88,37.05
1750524046751,0.54,0.03,0.89,37.05
1750524046811,0.54,0.02,0.9,37.04
1750524046871,0.55,0.03,0.88,37.05
1750524046931,0.55,0.03,0.88,37.05
1750524046991,0.55,0.03,0.89,37.08
1750524047051,0.55,0.02,0.89,37.05
1750524047111,0.55,0.03,0.89,37.05
1750524047171,0.55,0.04,0.9,37.05
1750524047231,0.54,0.03,0.9,37.07
1750524047291,0.55,0.04,0.89,37.07
1750524047351,0.54,0.03,0.89,37.05
1750524047411,0.55,0.02,0.88,37.04
1750524047541,0.56,0.01,0.89,37.05
1750524047601,0.57,0.04,0.88,37.08
1750524047661,0.55,0.04,0.89,37.05
1750524047721,0.54,0.02,0.89,37.07
1750524047781,0.55,0.02,0.89,37.07
1750524047841,0.56,0.04,0.89,37.07
