timestamp,x,y,z,temp
1750523660081,0.56,0.02,0.88,35.64
1750523660151,0.56,0.03,0.88,35.64
1750523660201,0.56,0.02,0.87,35.64
1750523660261,0.55,0.03,0.87,35.64
1750523660321,0.57,0.04,0.88,35.64
1750523660451,0.56,0.04,0.87,35.62
1750523660511,0.56,0.02,0.87,35.64
1750523660571,0.55,0.03,0.87,35.66
1750523660631,0.56,0.01,0.87,35.63
1750523660691,0.56,0.02,0.87,35.63
1750523660751,0.56,0.02,0.87,35.64
1750523660811,0.56,0.03,0.89,35.66
1750523660871,0.55,0.02,0.88,35.64
1750523660931,0.56,0.01,0.88,35.64
1750523660991,0.57,0.03,0.89,35.66
1750523661051,0.56,0.01,0.87,35.66
1750523661111,0.56,0.02,0.88,35.66
1750523661171,0.57,0.02,0.87,35.64
1750523661311,0.56,0.03,0.86,35.66
1750523661371,0.57,0.03,0.86,35.64
1750523661431,0.56,0.02,0.88,35.66
1750523661491,0.57,0.02,0.89,35.67
1750523661551,0.57,0.02,0.87,35.63
1750523661611,0.57,0.03,0.88,35.66
1750523661671,0.56,0.02,0.88,35.63
1750523661731,0.58,0.03,0.88,35.64
1750523661791,0.56,0.03,0.89,35.63
1750523661851,0.56,0.02,0.88,35.67
1750523661911,0.57,0.04,0.88,35.66
1750523661971,0.58,0.04,0.87,35.63
1750523662031,0.56,0.03,0.88,35.67
1750523662161,0.57,0.03,0.87,35.67
1750523662221,0.56,0.03,0.87,35.66
1750523662281,0.56,0.02,0.88,35.66
1750523662341,0.56,0.02,0.88,35.64
1750523662401,0.55,0.02,0.87,35.66
1750523662461,0.56,0.03,0.89,35.64
1750523662521,0.55,0.03,0.88,35.67
1750523662581,0.57,0.03,0.88,35.64
1750523662641,0.56,0.02,0.89,35.67
1750523662701,0.55,0.02,0.9,35.64
1750523662761,0.55,0.02,0.89,35.66
1750523662821,0.57,0.02,0.88,35.66
1750523662881,0.55,0.04,0.87,35.66
1750523662941,0.57,0.02,0.88,35.66
1750523663081,0.57,0.02,0.88,35.66
1750523663141,0.56,0.02,0.88,35.64
1750523663201,0.56,0.03,0.87,35.64
1750523663261,0.56,0.02,0.88,35.66
1750523663321,0.57,0.02,0.88,35.64
1750523663380,0.57,0.03,0.88,35.66
1750523663441,0.56,0.04,0.87,35.67
1750523663501,0.57,0.03,0.88,35.66
1750523663561,0.56,0.03,0.87,35.69
1750523663621,0.57,0.03,0.89,35.66
1750523663681,0.55,0.02,0.87,35.64
1750523663741,0.57,0.04,0.87,35.64
1750523663801,0.55,0.03,0.88,35.66
1750523663941,0.56,0.03,0.88,35.69
1750523664001,0.56,0.03,0.88,35.63
1750523664061,0.56,0.04,0.88,35.64
1750523664121,0.56,0.02,0.88,35.66
